season,date,event,patch,blue_team,red_team,winner,ban_1_blue_team,ban_2_blue_team,ban_3_blue_team,ban_4_blue_team,ban_5_blue_team,ban_1_red_team,ban_2_red_team,ban_3_red_team,ban_4_red_team,ban_5_red_team,pick_1_blue_team,pick_2_blue_team,pick_3_blue_team,pick_4_blue_team,pick_5_blue_team,pick_1_red_team,pick_2_red_team,pick_3_red_team,pick_4_red_team,pick_5_red_team,top_blue_team,jungler_blue_team,mid_blue_team,adc_blue_team,support_blue_team,top_red_team,jungler_red_team,mid_red_team,adc_red_team,support_red_team
5,2015-10-04,Main,5.18,ROX_Tigers,Counter_Logic_Gaming,ROX_Tigers,Veigar,Darius,Lulu,,,Kalista,Gangplank,Mordekaiser,,,Kennen,Rek'Sai,Viktor,Ashe,Morgana,Olaf,Elise,Azir,Tristana,Blitzcrank,Smeb, Hojin, Kuro, PraY, GorillA,ZionSpartan, Xmithie, Pobelter, Doublelift, aphromoo
5,2015-10-04,Main,5.18,Cloud9,Fnatic,Cloud9,Elise,Olaf,Lulu,,,Gangplank,Mordekaiser,Veigar,,,Darius,Lee Sin,Azir,Tristana,Morgana,Yasuo,Gragas,Orianna,Sivir,Alistar,Balls, Hai, Incarnati0n, Sneaky, LemonNation,Huni, Reignover, Febiven, Rekkles, YellOwStaR
5,2015-10-04,Main,5.18,Invictus_Gaming,Ahq_eSports_Club,Invictus_Gaming,Fizz,Tahm Kench,Twisted Fate,,,Gangplank,Azir,Mordekaiser,,,Shen,Elise,Viktor,Kalista,Kennen,Maokai,Rek'Sai,Ahri,Tristana,Thresh,Zz1tai, KAKAO, Rookie, Kid, Kitties,Ziv, Mountain, Westdoor, AN, Albis
5,2015-10-04,Main,5.18,KT_Rolster,Origen,Origen,Kalista,Braum,Mordekaiser,,,Azir,Lulu,Gangplank,,,Olaf,Elise,Ekko,Kog'Maw,Alistar,Fiora,Gragas,Twisted Fate,Sivir,Thresh,Ssumday, Score, Nagne, Arrow, Piccaboo,Soaz, Amazing, xPeke, Niels, Mithy
5,2015-10-04,Main,5.18,TSM,LGD_Gaming,TSM,Lee Sin,Rek'Sai,Kog'Maw,,,Azir,Gangplank,Elise,,,Darius,Gragas,Twisted Fate,Mordekaiser,Thresh,Lulu,Nunu,Diana,Kalista,Brand,Dyrus, Santorin, Bjergsen, WildTurtle, Lustboy,Acorn, TBQ, GODV, imp, Pyl
5,2015-10-03,Main,5.18,Ahq_eSports_Club,Fnatic,Ahq_eSports_Club,Azir,Lulu,LeBlanc,,,Gangplank,Rek'Sai,Mordekaiser,,,Gnar,Elise,Fizz,Jinx,Tahm Kench,Darius,Olaf,Orianna,Sivir,Annie,Ziv, Mountain, Westdoor, AN, Albis,Huni, Reignover, Febiven, Rekkles, YellOwStaR
5,2015-10-03,Main,5.18,Invictus_Gaming,Cloud9,Cloud9,Veigar,Morgana,Alistar,,,Gangplank,Lulu,Mordekaiser,,,Gnar,Gragas,Ekko,Sivir,Bard,Darius,Elise,Azir,Tristana,Braum,Zz1tai, KAKAO, Rookie, Kid, Kitties,Balls, Hai, Incarnati0n, Sneaky, LemonNation
5,2015-10-03,Main,5.18,Origen,TSM,Origen,Twisted Fate,Azir,LeBlanc,,,Gangplank,Mordekaiser,Fiora,,,Lulu,Rek'Sai,Anivia,Kalista,Braum,Darius,Elise,Viktor,Tristana,Alistar,Soaz, Amazing, xPeke, Niels, Mithy,Dyrus, Santorin, Bjergsen, WildTurtle, Lustboy
5,2015-10-03,Main,5.18,LGD_Gaming,KT_Rolster,KT_Rolster,Azir,Alistar,Gangplank,,,Kalista,Lee Sin,Rek'Sai,,,Hecarim,Elise,Varus,Sivir,Thresh,Malphite,Gragas,Lulu,Kog'Maw,Braum,Acorn, TBQ, GODV, imp, Pyl,Ssumday, Score, Nagne, Arrow, Piccaboo
5,2015-10-03,Main,5.18,H2k_2d-Gaming,Bangkok_Titans,H2k_2d-Gaming,Rek'Sai,Yasuo,Darius,,,Lulu,Gangplank,Fiora,,,Riven,Elise,Ekko,Mordekaiser,Alistar,Gnar,Gragas,Twisted Fate,Vayne,Thresh,Odoamne, loulex, Ryu, Hjarnan, kaSing,WarL0cK, 007x, G4, Lloyd, Moss
5,2015-10-03,Main,5.18,EDward_Gaming,SK_Telecom_T1,SK_Telecom_T1,Alistar,Azir,Elise,,,Gangplank,Lulu,Mordekaiser,,,Darius,Jarvan IV,Ekko,Kalista,Annie,Renekton,Rek'Sai,Ryze,Sivir,Braum,AmazingJ, Clearlove, PawN, Deft, Meiko,MaRin, Bengi, Faker, Bang, Wolf
5,2015-10-02,Main,5.18,Counter_Logic_Gaming,PaiN_Gaming,Counter_Logic_Gaming,Malphite,Darius,Twisted Fate,,,Gangplank,Elise,Mordekaiser,,,Olaf,Lee Sin,Lulu,Tristana,Braum,Gnar,Rek'Sai,Orianna,Kalista,Annie,ZionSpartan, Xmithie, Pobelter, Doublelift, aphromoo,Mylon, SirT, Kami, brTT, Dioud
5,2015-10-02,Main,5.18,Flash_Wolves,ROX_Tigers,Flash_Wolves,Ashe,Elise,Kalista,,,Mordekaiser,Rek'Sai,Gragas,,,Darius,Nidalee,Gangplank,Varus,Morgana,Gnar,Lee Sin,Lulu,Jinx,Alistar,Steak, Karsa, Maple, NL, SwordArt,Smeb, Hojin, Kuro, PraY, GorillA
5,2015-10-02,Main,5.18,H2k_2d-Gaming,EDward_Gaming,EDward_Gaming,Twisted Fate,Elise,Mordekaiser,,,Gangplank,Lee Sin,Thresh,,,Fiora,Gragas,Lulu,Tristana,Braum,Darius,Rek'Sai,Kassadin,Kalista,Annie,Odoamne, loulex, Ryu, Hjarnan, kaSing,AmazingJ, Clearlove, PawN, Deft, Meiko
5,2015-10-02,Main,5.18,Bangkok_Titans,SK_Telecom_T1,SK_Telecom_T1,Fiora,Gangplank,Darius,,,Lulu,Mordekaiser,Gragas,,,Maokai,Rek'Sai,Irelia,Kalista,Braum,Rumble,Elise,Olaf,Vayne,Alistar,WarL0cK, 007x, G4, Lloyd, Moss,MaRin, Bengi, Faker, Bang, Wolf
5,2015-10-02,Main,5.18,LGD_Gaming,Origen,Origen,Varus,Gangplank,Darius,,,Mordekaiser,Lee Sin,Rek'Sai,,,Malphite,Vi,Lulu,Kog'Maw,Braum,Vladimir,Elise,Orianna,Kalista,Annie,Acorn, TBQ, GODV, imp, Pyl,Soaz, Amazing, xPeke, Niels, Mithy
5,2015-10-02,Main,5.18,KT_Rolster,TSM,KT_Rolster,Gnar,Twisted Fate,Mordekaiser,,,Gangplank,Lulu,Thresh,,,Darius,Rek'Sai,Azir,Kog'Maw,Alistar,Olaf,Elise,LeBlanc,Vayne,Braum,Ssumday, Score, Nagne, Arrow, Piccaboo,Dyrus, Santorin, Bjergsen, WildTurtle, Lustboy
5,2015-10-01,Main,5.18,PaiN_Gaming,ROX_Tigers,ROX_Tigers,Kalista,Yasuo,Gangplank,,,Rek'Sai,Mordekaiser,Lulu,,,Darius,Elise,Azir,Sivir,Alistar,Gnar,Lee Sin,Ahri,Ashe,Thresh,Mylon, SirT, Kami, brTT, Dioud,Smeb, Hojin, Kuro, PraY, GorillA
