season,event,champion,games_contests,pick_ban_ratio,banned_games,played_games,played_by_number_of_players,win,lose,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share
4,Main,Fiddlesticks,1,1.3,,1,1.0,1,0,100.0,5.0,4.0,10.0,3.75,112.0,2.6,12.3,286.0,,,75.0,25.0,17.9
4,Main,Katarina,1,1.3,,1,1.0,1,0,100.0,12.0,2.0,16.0,14.0,195.0,6.65,14.7,501.0,,,71.8,30.8,21.9
4,Main,Lissandra,1,1.3,,1,1.0,1,0,100.0,4.0,2.0,11.0,7.5,363.0,9.66,16.6,442.0,,,57.7,15.4,22.4
4,Main,Riven,1,1.3,,1,1.0,1,0,100.0,0.0,2.0,4.0,2.0,345.0,7.62,16.3,360.0,,,36.4,0.0,21.3
4,Main,Swain,1,1.3,,1,1.0,1,0,100.0,1.0,8.0,9.0,1.25,211.0,4.17,13.6,269.0,,,47.6,4.8,16.1
4,Main,Galio,1,1.3,,1,1.0,0,1,0.0,0.0,7.0,3.0,0.43,165.0,5.07,7.9,243.0,,,27.3,0.0,17.0
4,Main,Nunu,1,1.3,,1,1.0,0,1,0.0,0.0,5.0,2.0,0.4,93.0,2.8,7.4,223.0,,,100.0,0.0,16.7
4,Main,Varus,1,1.3,,1,1.0,0,1,0.0,3.0,3.0,0.0,1.0,221.0,7.67,9.1,316.0,,,100.0,100.0,26.9
4,Main,Vi,1,1.3,,1,1.0,0,1,0.0,0.0,7.0,1.0,0.14,112.0,3.23,7.5,216.0,,,50.0,0.0,16.9
4,Main,Gragas,1,1.3,1.0,0,,0,0,,,,,,,,,,,,,,
5,Main,Gangplank,73,100.0,69.0,4,4.0,4,0,100.0,3.5,1.25,6.25,7.8,225.25,7.77,12.6,434.0,,,66.1,23.7,23.4
5,Main,Mordekaiser,72,98.6,68.0,4,4.0,4,0,100.0,6.5,1.0,11.25,17.75,246.25,7.37,14.0,420.0,,,84.5,31.0,22.6
5,Main,Elise,71,97.3,32.0,39,14.0,26,13,66.7,2.46,2.36,6.41,3.76,107.56,3.0,10.8,301.0,,,62.1,17.2,17.9
5,Main,Lulu,69,94.5,43.0,26,16.0,13,13,50.0,1.96,1.96,7.15,4.65,270.85,7.5,12.4,344.0,,,74.3,16.0,21.5
5,Main,Rek'Sai,56,76.7,19.0,37,10.0,15,22,40.5,1.35,2.54,7.54,3.5,122.62,3.35,11.0,300.0,,,72.6,11.0,18.4
5,Main,Kalista,54,74.0,25.0,29,13.0,14,15,48.3,4.34,2.24,4.9,4.12,295.76,8.39,13.5,383.0,,,74.7,35.1,23.7
5,Main,Darius,53,72.6,15.0,38,16.0,19,19,50.0,3.61,3.34,3.76,2.2,235.82,6.83,11.8,341.0,,,56.9,27.8,20.8
5,Main,Azir,42,57.5,28.0,14,8.0,10,4,71.4,3.5,2.64,6.43,3.76,316.43,8.92,14.0,394.0,,,71.6,25.3,22.9
5,Main,Thresh,35,47.9,6.0,29,14.0,13,16,44.8,0.76,3.03,8.24,2.97,33.48,0.95,7.7,219.0,,,70.0,5.9,13.4
5,Main,Tahm Kench,34,46.6,20.0,14,7.0,10,4,71.4,0.79,2.43,9.79,4.35,40.07,1.09,8.6,232.0,,,63.8,4.7,13.7
5,Main,Alistar,33,45.2,3.0,30,11.0,15,15,50.0,0.3,2.73,9.67,3.65,40.43,1.12,8.2,227.0,,,80.2,2.4,13.9
